Ürün,Grup,Kod,Ağırlık,Ana Grup
Belediye Otobüs Ücreti,Otobüs ile şehir içi yolcu taşımacılığı,07321,0.018189240087565024,Ulaştırma
Servis Ücreti,Otobüs ile şehir içi yolcu taşımacılığı,07321,0.018189240087565024,Ulaştırma
Oyuncak,"Oyunlar, oyuncaklar ve hobiler",09310,0.0019758713706101876,Eğlence ve kültür
Scooter (Çocuk),"Oyunlar, oyuncaklar ve hobiler",09310,0.0019758713706101876,Eğlence ve kültür
Patates,Patates,01172,0.0026689294602281507,Gıda ve alkolsüz içecekler
Krem Peynir,Peynir,01144,0.014161883837749585,Gıda ve alkolsüz içecekler
Beyaz Peynir,Peynir,01144,0.014161883837749585,Gıda ve alkolsüz içecekler
Tulum Peyniri,Peynir,01144,0.014161883837749585,Gıda ve alkolsüz içecekler
Kaşar Peyniri,Peynir,01144,0.014161883837749585,Gıda ve alkolsüz içecekler
Pirinç,Pirinç,01111,0.003014315906842861,Gıda ve alkolsüz içecekler
Pekmez,"Reçel, marmelat, bal vb. ürünler",01182,0.0025720138076522157,Gıda ve alkolsüz içecekler
Reçel,"Reçel, marmelat, bal vb. ürünler",01182,0.0025720138076522157,Gıda ve alkolsüz içecekler
Fındık Ezmesi,"Reçel, marmelat, bal vb. ürünler",01182,0.0025720138076522157,Gıda ve alkolsüz içecekler
Bal,"Reçel, marmelat, bal vb. ürünler",01182,0.0025720138076522157,Gıda ve alkolsüz içecekler
Tahin Helvası,"Reçel, marmelat, bal vb. ürünler",01182,0.0025720138076522157,Gıda ve alkolsüz içecekler
Okul Çantası,Seyahat malzemeleri ve diğer kişisel aksesuarlar,12321,0.0018397063970482458,Çeşitli mal ve hizmetler
Çanta (Kadın İçin),Seyahat malzemeleri ve diğer kişisel aksesuarlar,12321,0.0018397063970482458,Çeşitli mal ve hizmetler
Sporla İlgili Aletler (Futbol Topu),"Spor, kamp ve açık hava eğlence malzemeleri",09320,0.0010471839242190703,Eğlence ve kültür
Su Faturası,Su (şebeke suyu),04410,0.018485600197511106,Konut
Su,Su ve maden suyu,01221,0.0037263506753111614,Gıda ve alkolsüz içecekler
Maden Suyu ve Sodası,Su ve maden suyu,01221,0.0037263506753111614,Gıda ve alkolsüz içecekler
Süt,Süt,01141,0.0062680700874189746,Gıda ve alkolsüz içecekler
Ayçiçek Yağı,"Sıvı yağlar (zeytinyağı, ayçiçek yağı)",01153,0.010360313398895782,Gıda ve alkolsüz içecekler
Zeytinyağı,"Sıvı yağlar (zeytinyağı, ayçiçek yağı)",01153,0.010360313398895782,Gıda ve alkolsüz içecekler
Tavuk Eti,Tavuk eti,01125,0.014199337679096584,Gıda ve alkolsüz içecekler
Balık,Taze balık,01131,0.0026993788799786833,Gıda ve alkolsüz içecekler
Ayva,Taze meyveler,01161,0.01861824792807724,Gıda ve alkolsüz içecekler
Şeftali,Taze meyveler,01161,0.01861824792807724,Gıda ve alkolsüz içecekler
Portakal,Taze meyveler,01161,0.01861824792807724,Gıda ve alkolsüz içecekler
Nar,Taze meyveler,01161,0.01861824792807724,Gıda ve alkolsüz içecekler
Çilek,Taze meyveler,01161,0.01861824792807724,Gıda ve alkolsüz içecekler
Mandalina,Taze meyveler,01161,0.01861824792807724,Gıda ve alkolsüz içecekler
Elma,Taze meyveler,01161,0.01861824792807724,Gıda ve alkolsüz içecekler
Armut,Taze meyveler,01161,0.01861824792807724,Gıda ve alkolsüz içecekler
Karpuz,Taze meyveler,01161,0.01861824792807724,Gıda ve alkolsüz içecekler
Kavun,Taze meyveler,01161,0.01861824792807724,Gıda ve alkolsüz içecekler
Muz,Taze meyveler,01161,0.01861824792807724,Gıda ve alkolsüz içecekler
